case,battery_tech_key,duration_hours,cap_multiplier,solar_cap_limit_gw,battery_power_cap_limit_gw,battery_energy_cap_limit_gwh,solar_capacity_gw,battery_power_gw,battery_energy_gwh,solar_generation_twh,battery_throughput_twh,bess_unserved_load_mwh,bess_unserved_load_twh,load_shedding_pct_of_load,average_system_cost_per_mwh,objective_total_cost_billion_usd
4h_BESS,bess,4,0.5,12.5,8.5,34.0,12.5,-0.0,-0.0,33.027517590784626,0.0,191973094.34139267,191.97309434139265,85.32114321505041,25603.746510498404,5760.858632618486
4h_BESS,bess,4,1.0,25.0,17.0,68.0,25.0,0.4744733291600205,1.897893316640082,66.05207065887048,0.017455150534084227,158949459.96544018,158.94945996544018,70.64401229866564,21208.618989405953,4771.9522508527325
4h_BESS,bess,4,2.0,50.0,34.0,136.0,50.0,34.0,136.0,127.87656357306457,56.72530894231866,100109590.93502417,100.10959093502417,44.49303051904615,13421.10654083027,3019.757184493756
4h_BESS,bess,4,3.0,75.0,51.0,204.0,75.0,51.0,204.0,165.0717246353049,115.82935655556723,66025169.22084953,66.02516922084953,29.344439845679958,8913.128031378703,2005.4592612900499
4h_BESS,bess,4,4.0,100.0,68.0,272.0,100.0,68.0,272.0,194.19186175757642,165.51319287860946,39519970.852422416,39.51997085242242,17.564383720136316,5415.709886273854,1218.5380384587588
4h_BESS,bess,4,5.0,125.0,85.0,340.0,125.0,85.0,340.0,218.4390146332086,207.61435860466318,17488668.804477178,17.48866880447718,7.7727205514218145,2514.809628217746,565.8337052419238
4h_BESS,bess,4,7.5,187.5,127.5,510.0,187.5,127.5,510.0,234.33962154889156,231.13126552524875,2825793.8319830336,2.8257938319830336,1.2559049540873355,651.2616804130023,146.5342766209035
4h_BESS,bess,4,10.0,250.0,170.0,680.0,250.0,170.0,680.0,236.1875541923723,230.78997418520535,959898.4863947168,0.9598984863947168,0.4266203892299026,493.9730423513734,111.14423680705828
8h_BESS,bess_8h,8,0.5,12.5,8.5,68.0,12.5,-0.0,-0.0,33.027517590784626,0.0,191973094.34139267,191.97309434139265,85.32114321505041,25603.746510498404,5760.858632618486
8h_BESS,bess_8h,8,1.0,25.0,17.0,136.0,25.0,0.2790541179378306,2.2324329435026447,66.04950831689366,0.012255471810289085,158952097.30218714,158.95209730218716,70.64518444514307,21208.89119168763,4772.013496532679
8h_BESS,bess_8h,8,2.0,50.0,34.0,272.0,50.0,25.576777019236438,204.6142161538915,132.10789742101792,63.060505273076515,98005728.4522196,98.0057284522196,43.55798306973577,13145.473305067146,2957.7395377782073
8h_BESS,bess_8h,8,3.0,75.0,51.0,408.0,75.0,51.0,408.0,192.40048079858755,163.33941609875257,45843867.57402903,45.84386757402903,20.37499684127434,6253.557766573191,1407.054324232187
8h_BESS,bess_8h,8,4.0,100.0,68.0,544.0,100.0,68.0,544.0,221.73805077781842,212.11810988848683,20461326.8209929,20.4613268209929,9.093898298890245,2916.247775254944,656.1575339782127
8h_BESS,bess_8h,8,5.0,125.0,85.0,680.0,125.0,85.0,680.0,234.66192209334503,232.16328091760252,9162739.642962115,9.162739642962116,4.072317654728902,1456.7931534035088,327.7793509743955
8h_BESS,bess_8h,8,7.5,187.5,127.5,1020.0,187.5,127.5,1020.0,243.9200006357531,242.77261053279068,764877.0152990785,0.7648770152990786,0.3399444155865845,454.6301101532327,102.29205298727047
8h_BESS,bess_8h,8,10.0,250.0,170.0,1360.0,250.0,122.2389897472332,977.9119179778656,244.42433867566479,239.95467279249132,32057.536984593127,0.03205753698459313,0.014247755465774626,383.97000764756757,86.39348668430544
