,0
scenario,solar_bess_capped_5x
objective_total_cost_per_year_$,565833705241.9238
objective_total_cost_billion_$,565.8337052419238
load_mwh,225000611.93217716
average_system_cost_$_per_mwh,2514.809628217746
solar_capacity_mw,125000.0
solar_capacity_gw,125.0
solar_generation_mwh,218439014.63320857
solar_generation_twh,218.4390146332086
solar_capacity_factor,0.1994876845965375
solar_available_mwh,330275175.90784615
solar_curtailment_mwh,111836161.27463758
battery_power_mw,85000.0
battery_power_gw,85.0
battery_energy_mwh,340000.0
battery_energy_gwh,340.0
battery_throughput_mwh,207614358.6046632
gas_capacity_mw,0
gas_capacity_gw,0.0
gas_generation_mwh,0
gas_generation_twh,0.0
gas_capacity_factor,0
operational_emissions_tco2,0.0
solar_lifecycle_emissions_tco2e,9392877.629227968
battery_lifecycle_emissions_tco2e,6851273.833953885
gas_lifecycle_emissions_tco2e,0.0
total_lifecycle_emissions_tco2e,16244151.463181853
total_emissions_with_lca_tco2e,16244151.463181853
lifecycle_carbon_cost_usd,487324543.8954556
total_carbon_cost_with_lca_usd,487324543.8954556
gas_unserved_residual_load_mwh,0
bess_unserved_load_mwh,17488668.804477178
load_shedding_mwh,17488668.804477178
load_shedding_pct_of_load,7.7727205514218145
