scenario,objective_total_cost_per_year_$,objective_total_cost_billion_$,load_mwh,average_system_cost_$_per_mwh,solar_capacity_mw,solar_capacity_gw,solar_generation_mwh,solar_generation_twh,solar_capacity_factor,solar_available_mwh,solar_curtailment_mwh,battery_power_mw,battery_power_gw,battery_energy_mwh,battery_energy_gwh,battery_throughput_mwh,gas_capacity_mw,gas_capacity_gw,gas_generation_mwh,gas_generation_twh,gas_capacity_factor,operational_emissions_tco2,solar_lifecycle_emissions_tco2e,battery_lifecycle_emissions_tco2e,gas_lifecycle_emissions_tco2e,total_lifecycle_emissions_tco2e,total_emissions_with_lca_tco2e,lifecycle_carbon_cost_usd,total_carbon_cost_with_lca_usd,gas_unserved_residual_load_mwh,load_shedding_mwh,load_shedding_pct_of_load
solar_bess,100462218603.01021,100.46221860301021,225000611.93217716,446.49753500800676,316201.731142397,316.20173114239697,237111585.1147743,237.1115851147743,0.08560210106869777,835468659.0033648,598357073.8885906,202219.15135381915,202.21915135381914,808876.6054152766,808.8766054152766,230108490.46934372,0.0,0.0,0.0,0.0,0.0,0.0,10195798.159935296,7593580.185488343,0.0,17789378.34542364,17789378.34542364,533681350.36270916,533681350.36270916,0.0,0.0,0.0
solar_bess_8h,85376122160.21544,85.37612216021544,225000611.93217716,379.44839983791115,327265.98068251007,327.2659806825101,244205889.22932786,244.20588922932785,0.08518265344012249,864702634.7085588,620496745.4792309,97957.05798149064,97.95705798149064,783656.4638519251,783.6564638519251,236865086.66485858,0.0,0.0,0.0,0.0,0.0,0.0,10500853.236861097,7816547.859940333,0.0,18317401.09680143,18317401.09680143,549522032.904043,549522032.904043,0.0,0.0,0.0
solar_gas,16111890927.347483,16.11189092734748,225000611.93217716,71.60820936880009,5205.820297514558,5.205820297514558,13754825.716050053,13.754825716050053,0.30162116521264487,13754825.716050059,5.587935447692871e-09,0.0,0.0,0.0,0.0,0.0,41072.838275153226,41.072838275153224,211242533.90851605,211.24253390851604,0.5871141494668135,76047312.20706579,591457.5057901524,0.0,102663871.4795388,103255328.98532896,179302641.19239473,3097659869.559869,5379079235.771842,3252.3076111085857,3252.3076111085857,0.0014454661181494662
solar_gas_co2cap,1179624536462.647,1179.624536462647,225000611.93217716,5242.761458880947,807728.885116286,807.7288851162859,120003484.57462883,120.00348457462883,0.0169599331804334,2134182396.9410372,2014178912.3664083,0.0,0.0,0.0,0.0,0.0,15873.654411947797,15.873654411947797,69444444.44444953,69.44444444444953,0.49940913353732136,25000000.000001915,5160149.836709039,0.0,33750000.00000247,38910149.83671151,63910149.836713426,1167304495.1013453,1917304495.1014028,35552682.91309898,35552682.91309898,15.801149431458333
solar_gas_rps,3146113043589.517,3146.113043589517,225000611.93217716,13982.686609482924,23534057.895103388,23534.057895103386,135000367.1593064,135.00036715930642,0.0006548382300223248,62181720889.045685,62046720521.886375,0.0,0.0,0.0,0.0,0.0,38102.842359,38.102842359,89995012.33142184,89.99501233142183,0.2696230149285429,32398204.43931187,5805015.787850176,0.0,43737575.99307101,49542591.78092119,81940796.22023305,1486277753.4276357,2458223886.606992,5232.441448999991,5232.441448999991,0.0023255232081667524
