scenario,objective_total_cost_per_year_$,objective_total_cost_billion_$,load_mwh,average_system_cost_$_per_mwh,solar_capacity_mw,solar_capacity_gw,solar_generation_mwh,solar_generation_twh,solar_capacity_factor,solar_curtailment_mwh,battery_power_mw,battery_power_gw,battery_energy_mwh,battery_energy_gwh,battery_throughput_mwh,gas_capacity_mw,gas_capacity_gw,gas_generation_mwh,gas_generation_twh,gas_capacity_factor,operational_emissions_tco2,solar_lifecycle_emissions_tco2e,battery_lifecycle_emissions_tco2e,gas_lifecycle_emissions_tco2e,total_lifecycle_emissions_tco2e,total_emissions_with_lca_tco2e,lifecycle_carbon_cost_usd,total_carbon_cost_with_lca_usd,load_shedding_mwh
solar_bess,94294038129.5732,94.2940381295732,225000611.93217716,419.08347412849093,359364.67023590073,359.36467023590075,236927123.4327011,236.9271234327011,0.07526192059990557,712586713.9851168,149963.97252499947,149.96397252499946,599855.8900999979,599.8558900999979,228599436.24513066,0.0,0.0,0.0,0.0,0.0,0.0,10187866.307606148,7543781.396089312,0.0,17731647.70369546,17731647.70369546,531949431.1108638,531949431.1108638,105037.77553571356
solar_gas,17362837389.867085,17.362837389867085,225000611.93217716,77.16795630360701,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50511.243761185,50.511243761185,225000611.93217722,225.0006119321772,0.5085006713269282,81000220.29558386,0.0,0.0,109350297.39903814,109350297.39903814,190350517.69462198,3280508921.971144,5710515530.838659,0.0
solar_gas_co2cap,1184973523388.3188,1184.9735233883189,225000611.93217716,5266.534669450189,807728.885116286,807.7288851162859,120003484.57462883,120.00348457462883,0.0169599331804334,2014178912.3664083,0.0,0.0,0.0,0.0,0.0,50511.243761185,50.511243761185,69444444.44444442,69.44444444444441,0.15694422480313056,24999999.999999985,5160149.836709039,0.0,33749999.999999985,38910149.83670902,63910149.83670901,1167304495.1012707,1917304495.1012702,35552682.91310403
solar_gas_rps,3147872487763.616,3147.8724877636164,225000611.93217716,13990.506340100497,23534057.895103388,23534.057895103386,135000367.1593064,135.00036715930642,0.0006548382300223248,62046720521.886375,0.0,0.0,0.0,0.0,0.0,50511.243761185,50.511243761185,90000244.77287085,90.00024477287086,0.20340026853077123,32400088.11823351,5805015.787850176,0.0,43740118.95961524,49545134.74746542,81945222.86569893,1486354042.4239626,2458356685.9709682,0.0
