month,load_shedding_mwh,load_shedding_hours,avg_solar_cf,avg_demand_mw,peak_load_shedding_mw
8,2121.294817999995,2,0.0,39163.489768,1548.6513019999984
9,3111.146630999996,3,0.0,39139.891236,1228.5971209999989
