period,load_shedding_mwh,load_shedding_hours,avg_solar_cf,avg_demand_mw
night_00_05,14203006.327630475,2188,0.00011439821270112407,22457.37631528895
late_evening_21_23,11125777.446191343,1095,0.00014074632482370938,26147.866632101814
evening_peak_16_20,9113527.7003394,848,0.0012230037926524242,27608.59445416696
morning_06_09,1110371.4389377683,179,0.002233879522104742,23881.215824121944
