demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
38675.485875,-0.0,38102.842359,572.6435159999965,0.0,2025-08-07 20:00:00,8,7,20,2025-08-07,evening_peak_16_20,38102.842359,0.01480636902276529
39651.493661,-0.0,38102.842359,1548.6513019999984,0.0,2025-08-22 20:00:00,8,22,20,2025-08-22,evening_peak_16_20,38102.842359,0.03905656909775393
38817.078537,-0.0,38102.842359,714.2361779999992,0.0,2025-09-01 20:00:00,9,1,20,2025-09-01,evening_peak_16_20,38102.842359,0.018400049795586685
39331.43948,-0.0,38102.842359,1228.5971209999989,0.0,2025-09-02 20:00:00,9,2,20,2025-09-02,evening_peak_16_20,38102.842359,0.031237024051070882
39271.155691,-0.0,38102.842359,1168.313331999998,0.0,2025-09-03 20:00:00,9,3,20,2025-09-03,evening_peak_16_20,38102.842359,0.029749909607772178
