Date,HR,Solar Gen,Solar Gen Normalized,Demand,Demand_Normalized
01/01/2025,1,0.0,0.0,21768.585137,0.4956099086751671
01/01/2025,2,0.0,0.0,21111.893379,0.48065887073853397
01/01/2025,3,0.0,0.0,20358.821469,0.4635135258209832
01/01/2025,4,0.0,0.0,19926.846964,0.45367867235551107
01/01/2025,5,0.0,0.0,19916.727203,0.45344827365052126
01/01/2025,6,0.0,0.0,20239.135753,0.46078861621371336
01/01/2025,7,1.75,8.087717068549179e-05,20807.518556,0.4737291057914475
01/01/2025,8,2164.75,0.1000450601379533,21657.072545,0.4930710782831397
01/01/2025,9,9171.916666666666,0.4238849541503467,23420.194483,0.5332124424175562
01/01/2025,10,13231.583333333334,0.6115045849653191,24822.960477,0.565149507771303
01/01/2025,11,13699.166666666666,0.633114194713714,23878.687918,0.5436510578819248
01/01/2025,12,13226.5,0.611269656040947,23299.703394,0.530469196715567
01/01/2025,13,13360.333333333334,0.617454833951466,23603.194633,0.5373788449218184
01/01/2025,14,13539.166666666666,0.6257197105367548,23232.112043,0.5289303303590484
01/01/2025,15,11823.833333333334,0.5464446780896043,22726.496795,0.5174188827702876
01/01/2025,16,8761.5,0.4049173319776779,21598.849668,0.49174550592411076
01/01/2025,17,1737.6666666666667,0.0803071791968511,23013.673545,0.5239570956098174
01/01/2025,18,24.58333333333333,0.001136131683439,24706.531283,0.5624987400782119
01/01/2025,19,0.0,0.0,24870.967744,0.5662424992112094
01/01/2025,20,0.0,0.0,24637.428755,0.5609254684404015
01/01/2025,21,0.0,0.0,24184.064674,0.5506036340461623
01/01/2025,22,0.0,0.0,23817.6550599999,0.5422615101006039
01/01/2025,23,0.0,0.0,22709.552699,0.5170331130099521
01/01/2025,24,0.0,0.0,21489.901479,0.4892650598289331
01/02/2025,1,0.0,0.0,20821.21345,0.4740409002935679
01/02/2025,2,0.0,0.0,20246.292391,0.46095155288062484
01/02/2025,3,0.0,0.0,19700.929643,0.4485351656864148
01/02/2025,4,0.0,0.0,19905.546645,0.4531937235594407
01/02/2025,5,0.0,0.0,20252.702808,0.46109750017871265
01/02/2025,6,0.0,0.0,21572.870124,0.4911540242385428
01/02/2025,7,3.6666666666666665,0.0001694569290553,23366.737373,0.5319953732677516
01/02/2025,8,2201.25,0.1017319268408221,24872.004074,0.5662660935520186
01/02/2025,9,10050.666666666666,0.4644968477159901,26744.935867,0.6089075215107799
01/02/2025,10,14135.416666666666,0.6532757179774545,27473.091131,0.6254855839627578
01/02/2025,11,14473.666666666666,0.6689081196828074,26657.021735,0.6069059621692994
01/02/2025,12,13973.5,0.6457926540421255,26646.922895,0.606676039777071
01/02/2025,13,14030.0,0.6484038312671142,26032.872025,0.592695815812706
01/02/2025,14,14437.833333333334,0.667252063330676,25585.735348,0.5825157620214917
01/02/2025,15,14189.083333333334,0.6557559512118096,25078.606198,0.5709698471107971
01/02/2025,16,9938.5,0.4593130062044344,23510.569686,0.5352700334747351
01/02/2025,17,1956.25,0.0904091229448533,24916.043138,0.5672687400882918
01/02/2025,18,99.16666666666669,0.0045830396721778,26687.078429,0.6075902691775256
01/02/2025,19,0.0,0.0,26451.635478,0.6022298905075776
01/02/2025,20,0.0,0.0,26083.005799,0.5938372218800875
01/02/2025,21,0.0,0.0,25628.024868,0.583478576325371
01/02/2025,22,0.0,0.0,24999.451684,0.5691677198155284
01/02/2025,23,0.0,0.0,23676.615942,0.5390504431455565
01/02/2025,24,0.0,0.0,22454.382481,0.5112235995462291
01/03/2025,1,0.0,0.0,22573.185717,0.5139284175476616
01/03/2025,2,0.0,0.0,22380.633737,0.5095445465416945
01/03/2025,3,0.0,0.0,21631.952505,0.49249916510403485
01/03/2025,4,0.0,0.0,21307.396494,0.48510993084928833
01/03/2025,5,0.0,0.0,21211.978156,0.4829375216878984
01/03/2025,6,0.0,0.0,22002.754144,0.5009412831969114
01/03/2025,7,0.0,0.0,23713.972819,0.5399009549395862
01/03/2025,8,1130.9166666666667,0.0522659087320385,24581.342721,0.5596485460307109
01/03/2025,9,5155.083333333333,0.2382448883702479,25214.661815,0.5740674536613258
01/03/2025,10,6796.833333333333,0.3141192283547657,25930.038727,0.5903545887136641
01/03/2025,11,8764.333333333334,0.4050482759683115,26240.6264959999,0.5974258050954779
01/03/2025,12,10405.416666666666,0.480891805602092,27373.142624,0.6232100355008462
01/03/2025,13,10790.75,0.4987001883282689,26796.969017,0.6100921710668848
01/03/2025,14,10154.416666666666,0.4692917085494871,26444.498714,0.6020674063161606
01/03/2025,15,9208.416666666666,0.4255718208532156,26194.991458,0.5963868226869669
01/03/2025,16,6109.5,0.2823537567445783,24791.999484,0.5644446123995251
01/03/2025,17,1120.4166666666667,0.0517806457079255,25041.034353,0.5701144410955684
01/03/2025,18,0.0,0.0,26623.716232,0.6061476888503708
01/03/2025,19,0.0,0.0,26522.376886,0.6038404748674605
01/03/2025,20,0.0,0.0,26376.436904,0.6005178289216687
01/03/2025,21,0.0,0.0,25738.420622,0.5859919794341965
01/03/2025,22,0.0,0.0,25289.6765329999,0.575775329359413
01/03/2025,23,0.0,0.0,24196.6116029999,0.5508892925901907
01/03/2025,24,0.0,0.0,23228.896994,0.5288571326692927
01/04/2025,1,0.0,0.0,22416.9609,0.5103716146227639
01/04/2025,2,0.0,0.0,22101.351714,0.5031860745949631
01/04/2025,3,0.0,0.0,20893.031301,0.47567599225528007
01/04/2025,4,0.0,0.0,20481.088296,0.46629720011961634
01/04/2025,5,0.0,0.0,20251.253931,0.4610645132944879
01/04/2025,6,0.0,0.0,20727.06622,0.4718974307125793
01/04/2025,7,2.9166666666666665,0.0001347952844758,21713.260956,0.49435033153129776
01/04/2025,8,1627.3333333333333,0.075208066149823,22658.466461,0.515870021996439
01/04/2025,9,8995.583333333334,0.4157356163803229,25211.037361,0.5739849349627226
01/04/2025,10,13285.833333333334,0.6140117772565694,26109.3112459999,0.5944361234670869
01/04/2025,11,13607.666666666666,0.6288854740750155,24733.1378229999,0.563104496712211
01/04/2025,12,13396.916666666666,0.619145551948177,23839.318288,0.5427547213214144
01/04/2025,13,12929.083333333334,0.5975243883182555,23716.895525,0.5399674967954133
01/04/2025,14,11793.75,0.5450543610125822,22966.823062,0.5228904409120092
01/04/2025,15,11146.833333333334,0.5151567669158454,23050.952392,0.5248058308785961
01/04/2025,16,6953.583333333333,0.3213635120718805,21729.526082,0.4947206430403241
01/04/2025,17,1151.75,0.0532287321925801,23214.496166,0.528529266020863
01/04/2025,18,0.0,0.0,25550.221122,0.5817072022463039
01/04/2025,19,0.0,0.0,25720.047271,0.5855736695277942
01/04/2025,20,0.0,0.0,25403.074854,0.5783570925360767
01/04/2025,21,0.0,0.0,24776.704857,0.5640963964432292
01/04/2025,22,0.0,0.0,24296.2122,0.5531569201127213
01/04/2025,23,0.0,0.0,23537.483544,0.535882786881607
01/04/2025,24,0.0,0.0,22718.895518,0.5172458229147171
01/05/2025,1,0.0,0.0,22024.283222,0.501431440196748
01/05/2025,2,0.0,0.0,21335.625168,0.48575261894569477
01/05/2025,3,0.0,0.0,20453.553996,0.4656703209805931
01/05/2025,4,0.0,0.0,20173.510343,0.45929450884512807
01/05/2025,5,0.0,0.0,20115.85513,0.4579818606105393
01/05/2025,6,0.0,0.0,20569.192669,0.4683030907175401
01/05/2025,7,2.833333333333333,0.0001309439906336,21339.625792,0.48584370198498306
01/05/2025,8,1868.1666666666667,0.0863383053536835,22183.346453,0.5050528658839644
01/05/2025,9,9014.166666666666,0.416594454907126,23528.8456769999,0.5356861267657508
01/05/2025,10,12907.333333333334,0.5965192006254502,23702.10589,0.5396307780970891
01/05/2025,11,13692.166666666666,0.6327906860309721,23237.349309,0.5290495682841424
01/05/2025,12,13936.416666666666,0.6440788282823614,22789.657199,0.5188568688342106
01/05/2025,13,14025.75,0.6482074152811637,23235.637793,0.5290106018431395
01/05/2025,14,14296.25,0.6607087150928355,22845.7628889999,0.520134238756142
01/05/2025,15,14090.333333333334,0.6511921680088426,22527.029668,0.5128775731732693
01/05/2025,16,9858.666666666666,0.455623466703639,21222.1537279999,0.4831691910535392
01/05/2025,17,2109.583333333333,0.0974955036144392,22502.653069,0.5123225860701495
01/05/2025,18,12.666666666666666,0.0005853966640092,24853.10057,0.5658357135419206
01/05/2025,19,0.0,0.0,25099.710522,0.5714503336479084
01/05/2025,20,0.0,0.0,24965.094976,0.5683855134935696
01/05/2025,21,0.0,0.0,24513.344913,0.5581004257830743
01/05/2025,22,0.0,0.0,24153.980073,0.5499186916734585
01/05/2025,23,0.0,0.0,22862.976892,0.5205261535453265
01/05/2025,24,0.0,0.0,21785.075114,0.4959853394137103
01/06/2025,1,0.0,0.0,21501.93448,0.48953901766722
01/06/2025,2,0.0,0.0,21242.385153,0.4836298041174367
01/06/2025,3,0.0,0.0,20349.14708,0.4632932669930161
01/06/2025,4,0.0,0.0,20036.645827,0.456178485922704
01/06/2025,5,0.0,0.0,20513.5474489999,0.4670362044119352
01/06/2025,6,0.0,0.0,22032.455262,0.5016174947323369
01/06/2025,7,4.5,0.0002079698674769,24098.425334,0.5486538653676154
01/06/2025,8,2051.9166666666665,0.0948304082756602,25921.259675,0.5901547142095293
01/06/2025,9,9990.25,0.4617046596804196,26678.445459,0.6073937205526898
01/06/2025,10,14295.75,0.6606856073297824,26504.354398,0.6034301531320071
01/06/2025,11,14678.25,0.6783630460653256,25898.211758,0.5896299774860522
01/06/2025,12,14180.25,0.65534771406454,25855.26707,0.5886522468359519
01/06/2025,13,14083.416666666666,0.6508725106199428,25888.527811,0.5894095010491096
01/06/2025,14,13933.666666666666,0.64395173558557,25205.12008,0.573850214994587
01/06/2025,15,12865.583333333334,0.5945897024105249,25077.6034569999,0.5709470174977397
01/06/2025,16,8533.25,0.3943686381439845,24179.78622,0.5505062255934371
01/06/2025,17,1941.0833333333333,0.089708187465579,24847.0625999999,0.5656982458221997
01/06/2025,18,32.166666666666664,0.0014865994230761,26872.319613,0.6118076937693092
01/06/2025,19,29.58333333333333,0.001367209313969,26883.053509,0.6120520746136686
01/06/2025,20,0.0,0.0,26673.750601,0.6072868317434273
01/06/2025,21,0.0,0.0,25968.2196459999,0.5912238616434197
01/06/2025,22,0.0,0.0,25328.0296739999,0.5766485233032907
01/06/2025,23,0.0,0.0,24833.766237,0.5653955247583079
01/06/2025,24,0.0,0.0,23414.634527,0.5330858577420683
01/07/2025,1,0.0,0.0,22372.920049,0.5093689274014899
01/07/2025,2,0.0,0.0,21768.569997,0.49560956397963585
01/07/2025,3,0.0,0.0,20951.690316,0.47701149425893175
01/07/2025,4,0.0,0.0,20648.692088,0.47011307053673146
01/07/2025,5,0.0,0.0,21056.089303,0.47938836772531546
01/07/2025,6,0.0,0.0,22309.60882,0.5079275074733997
01/07/2025,7,0.0,0.0,24386.447837,0.5552113336417293
01/07/2025,8,980.0,0.0452912155838754,25773.506529,0.5867907875815619
01/07/2025,9,5736.083333333333,0.2650961090378312,25825.162054,0.587966839670694
01/07/2025,10,10024.0,0.463264433686497,25783.429687,0.5870167101851302
01/07/2025,11,11867.75,0.5484743099444258,25424.434218,0.5788433856219515
01/07/2025,12,11987.833333333334,0.5540240243709874,25538.177576,0.5814330043278071
01/07/2025,13,12417.416666666666,0.5738774441273545,24714.719308,0.5626851585476227
01/07/2025,14,12387.0,0.5724717218749639,24352.334744,0.5544346737531809
01/07/2025,15,11161.833333333334,0.5158499998074353,24283.7725589999,0.552873704216915
01/07/2025,16,7973.916666666667,0.3685187538753644,23722.070293,0.5400853118155331
01/07/2025,17,1592.8333333333333,0.0736136304991662,24682.372582,0.5619487139042108
01/07/2025,18,0.0,0.0,26681.007947,0.6074520612503359
01/07/2025,19,0.0,0.0,26807.390853,0.6103294471762729
01/07/2025,20,0.0,0.0,26456.062724,0.6023306865387359
01/07/2025,21,0.0,0.0,25759.133538,0.586463554703905
01/07/2025,22,0.0,0.0,25078.213348,0.5709609030130802
01/07/2025,23,0.0,0.0,23729.803663,0.5402613790599281
01/07/2025,24,0.0,0.0,22346.731634,0.508772690306391
01/08/2025,1,0.0,0.0,21877.661997,0.49809328424978305
01/08/2025,2,0.0,0.0,21251.191358,0.4838302968195741
01/08/2025,3,0.0,0.0,20668.657322,0.47056762317472534
01/08/2025,4,0.0,0.0,20544.69509,0.4677453492375798
01/08/2025,5,0.0,0.0,20469.066233,0.46602349130905196
01/08/2025,6,0.0,0.0,21618.875931,0.49220144802205007
01/08/2025,7,0.0,0.0,23384.455065,0.5323987556492334
01/08/2025,8,869.25,0.0401728460676364,24637.033314,0.5609164653528483
01/08/2025,9,5433.833333333333,0.2511274662722941,24618.676601,0.560498534247255
01/08/2025,10,9056.25,0.41853935829742,24288.43216,0.5529797903227224
01/08/2025,11,11552.416666666666,0.5339010140456686,24852.735561,0.5658274033060455
01/08/2025,12,12423.166666666666,0.5741431834024641,24122.23194,0.5491958753214674
01/08/2025,13,13265.75,0.6130836154406073,24060.521418,0.5477908990228133
01/08/2025,14,14125.5,0.6528174140102367,24043.2400447,0.5473974503999887
01/08/2025,15,14288.25,0.6603389908839875,24500.439002,0.5578065942211319
01/08/2025,16,10890.166666666666,0.5032947818819732,23438.961485,0.5336397146582089
01/08/2025,17,2427.25,0.1121766357407771,23944.014452,0.5451383606784109
01/08/2025,18,101.41666666666669,0.0046870246059163,25779.026612,0.5869164644601598
01/08/2025,19,0.0,0.0,25989.9919959999,0.5917195572675144
01/08/2025,20,0.0,0.0,25696.741069,0.5850430523759632
01/08/2025,21,0.0,0.0,25314.289918,0.5763357074186811
01/08/2025,22,0.0,0.0,24779.803775,0.5641669501543366
01/08/2025,23,0.0,0.0,23472.165254,0.5343956717779847
01/08/2025,24,0.0,0.0,22355.27066,0.5089671000886253
01/09/2025,1,0.0,0.0,21933.86865,0.499372952817352
01/09/2025,2,0.0,0.0,21214.254055,0.48298933755413154
01/09/2025,3,0.0,0.0,20808.516987,0.4737518372778355
01/09/2025,4,0.0,0.0,20507.422434,0.4668967549205866
01/09/2025,5,0.0,0.0,20812.615891,0.4738451578783396
01/09/2025,6,0.0,0.0,22034.681507,0.5016681801156172
01/09/2025,7,1.5833333333333333,7.317458300115923e-05,24297.671296,0.553190139655046
01/09/2025,8,2416.75,0.1116913727166641,25912.222386,0.5899489603698667
01/09/2025,9,11035.75,0.5100229922242377,26751.942931,0.6090670527953014
01/09/2025,10,14926.75,0.6898476043026655,25827.37542,0.5880172318351007
